geo_point_2d;geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;insee_com;nom_com;date_modif;notes
49.01484599400857,2.213474660050016;"{""coordinates"": [2.213474660050016, 49.01484599400857], ""type"": ""Point""}";w669713616;NON;150;;public;NON;NON;ratelier;95607;Taverny;2021-10-01T02:00:00+02:00;
48.84564249905175,2.4033265999999984;"{""coordinates"": [2.4033266, 48.84564249905175], ""type"": ""Point""}";n429279885;NON;0;;public;NON;NON;inconnu;75112;12e Arrondissement;2018-05-01T02:00:00+02:00;
48.83286869905165,2.3359226999999994;"{""coordinates"": [2.3359227, 48.83286869905165], ""type"": ""Point""}";n2291048622;NON;12;;public;NON;NON;arceaux;75114;14e Arrondissement;2021-04-01T02:00:00+02:00;
48.886508199052,2.326061999999999;"{""coordinates"": [2.326062, 48.886508199052], ""type"": ""Point""}";n10696776117;NON;10;;public;NON;NON;arceaux;75118;18e Arrondissement;2023-02-01T01:00:00+01:00;
48.84347329905174,2.3054141999999995;"{""coordinates"": [2.3054142, 48.84347329905174], ""type"": ""Point""}";n7648826285;NON;20;;public;NON;NON;arceaux;75115;15e Arrondissement;2022-09-01T02:00:00+02:00;
49.04994409905314,2.5022715999999994;"{""coordinates"": [2.5022716, 49.04994409905314], ""type"": ""Point""}";n4115108934;OUI;40;;clientele;OUI;NON;abri;95351;Louvres;2021-10-01T02:00:00+02:00;
48.892211399052066,2.3489017999999993;"{""coordinates"": [2.3489018, 48.892211399052066], ""type"": ""Point""}";n8475901242;NON;8;;public;NON;NON;arceaux;75118;18e Arrondissement;2021-03-01T01:00:00+01:00;
48.90285599905213,2.3934005;"{""coordinates"": [2.3934005, 48.90285599905213], ""type"": ""Point""}";n7244992004;NON;8;;public;NON;NON;inconnu;93055;Pantin;2020-02-01T01:00:00+01:00;
48.840076576852546,2.65386075966722;"{""coordinates"": [2.65386075966722, 48.840076576852546], ""type"": ""Point""}";w1052605388;OUI;100;;clientele;OUI;NON;abri;77468;Torcy;2022-11-01T01:00:00+01:00;
48.83832819905171,2.4039297999999993;"{""coordinates"": [2.4039298, 48.83832819905171], ""type"": ""Point""}";n7637504878;NON;2;;public;NON;NON;arceaux;75112;12e Arrondissement;2020-06-01T02:00:00+02:00;
48.86162949905184,2.440987899999999;"{""coordinates"": [2.4409879, 48.86162949905184], ""type"": ""Point""}";n6504583863;NON;4;;public;NON;NON;arceaux;93048;Montreuil;2021-05-01T02:00:00+02:00;
48.885930699052025,2.2170116999999996;"{""coordinates"": [2.2170117, 48.885930699052025], ""type"": ""Point""}";n9945715105;NON;16;;public;NON;NON;arceaux;92050;Nanterre;2023-03-01T01:00:00+01:00;
48.60917849905018,2.3037872;"{""coordinates"": [2.3037872, 48.60917849905018], ""type"": ""Point""}";n9653556959;NON;6;;public;NON;NON;arceaux;91103;Brétigny-sur-Orge;2023-03-01T01:00:00+01:00;
48.91552009905221,2.2908430000000006;"{""coordinates"": [2.290843, 48.91552009905221], ""type"": ""Point""}";n1781570337;NON;8;;public;NON;NON;inconnu;92004;Asnières-sur-Seine;2012-06-01T02:00:00+02:00;
48.944001099052414,2.495965699999999;"{""coordinates"": [2.4959657, 48.944001099052414], ""type"": ""Point""}";n672937285;NON;4;;public;NON;NON;inconnu;93005;Aulnay-sous-Bois;2017-05-01T02:00:00+02:00;
48.83487089905169,2.3420898;"{""coordinates"": [2.3420898, 48.83487089905169], ""type"": ""Point""}";n5688894122;NON;8;;public;NON;NON;arceaux;75113;13e Arrondissement;2018-06-01T02:00:00+02:00;
48.83213529905166,2.3591833999999996;"{""coordinates"": [2.3591834, 48.83213529905166], ""type"": ""Point""}";n8174012124;NON;10;;public;NON;NON;arceaux;75113;13e Arrondissement;2022-06-01T02:00:00+02:00;
